
[34m[1mwandb[39m[22m: [33mWARNING[39m The save_model argument by default saves the model in the HDF5 format that cannot save custom objects like subclassed models and custom layers. This behavior will be deprecated in a future release in favor of the SavedModel format. Meanwhile, the HDF5 model is saved as W&B files and the SavedModel as W&B Artifacts.
 85/242 [=========>....................] - ETA: 2:31:38 - loss: 0.1835 - psnr: 62.3806WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
 86/242 [=========>....................] - ETA: 2:30:17 - loss: 0.1830 - psnr: 62.3964WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
 87/242 [=========>....................] - ETA: 2:28:59 - loss: 0.1832 - psnr: 62.3789WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
 88/242 [=========>....................] - ETA: 2:27:48 - loss: 0.1834 - psnr: 62.3557WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
 89/242 [==========>...................] - ETA: 2:26:47 - loss: 0.1841 - psnr: 62.3179WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
 90/242 [==========>...................] - ETA: 2:25:42 - loss: 0.1838 - psnr: 62.3199WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
 91/242 [==========>...................] - ETA: 2:24:44 - loss: 0.1844 - psnr: 62.2872WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
 92/242 [==========>...................] - ETA: 2:23:42 - loss: 0.1848 - psnr: 62.2598WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
 93/242 [==========>...................] - ETA: 2:22:37 - loss: 0.1851 - psnr: 62.2440WARNING:tensorflow:Can save best model only with val_psnr available, skipping.

 94/242 [==========>...................] - ETA: 2:21:41 - loss: 0.1869 - psnr: 62.1811WARNING:tensorflow:Can save best model only with val_psnr available, skipping.

 95/242 [==========>...................] - ETA: 2:21:39 - loss: 0.1873 - psnr: 62.1577WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
 96/242 [==========>...................] - ETA: 2:21:50 - loss: 0.1878 - psnr: 62.1326WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
 97/242 [===========>..................] - ETA: 2:21:07 - loss: 0.1882 - psnr: 62.1078WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
 98/242 [===========>..................] - ETA: 2:20:12 - loss: 0.1887 - psnr: 62.0760WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
100/242 [===========>..................] - ETA: 24:53:27 - loss: 0.1896 - psnr: 62.0141ARNING:tensorflow:Can save best model only with val_psnr available, skipping.
101/242 [===========>..................] - ETA: 24:29:16 - loss: 0.1899 - psnr: 61.9955WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
